Statement,Answer1,Answer2,Answer3,Answer4,CorrectAnswer
What kind of animal is Dumbo from Walt Disney?,Deer,Rabbit,Elephant,Donkey,2
Which material is most dense?,Silver,Styrofoam,Butter,Gold,3
Which country is largest by area?,UK,USA,Russia,China,2
What is the national emblem of Canada?,Maple Leaf,Brown Bear,Maple Syrup,Waffle,0
What are the three primary colors?,Red - green - blue,Magenta - pink - cyan,Yellow - salmon - brown,White - grey - black,0
What is the name of the largest freshwater lake in the world?,Lake Union,Lake Superior,Lake Largest,Lake Goodwin,0
Which month has only 28 days (unless it's a leap year)?,March,September,June,February,3
Which of these African countries is situated south of the equator?,Ethiopia,Nigeria,Zambia,Chad,2
The headquarters of UN are situated at:,New York - USA,Haque (Netherlands),Geneva,Paris,0
When cream is separated from milk,the density of milk increases,the density of milk decreases,the density of milk remains unchanged,it becomes more viscous,0
What is the S.I. unit of temperature?,Kelvin,Celsius,Centigrade,Fahrenheit,0
The ozone layer restricts,Visible light,Infrared radiation,X-rays and gamma rays,Ultraviolet radiation,3
Light Year is related to,Energy,Speed,Distance,Intensity,2
When and where was weightlifting introduced in Olympics?,1986 at Athens,1988 at Seoul,1924 at St. Louis,1908 at London,0
When did China test their first atomic device?,1962,1963,1964,1965,2
